start_ms	end_ms	head	brows	right-hand	left-hand	body	video_name	sType	sentence	speaker	start_frames	end_frames	frame_count	main_sign	pos
300	866			ДЕВОЧКА			gen_q-dev_upala-alt	gen_q	dev_upala	alt	6.0	24.0	60	ДЕВОЧКА	N
866	2000		br_raise				gen_q-dev_upala-alt	gen_q	dev_upala	alt	24.0	60.0	60		
933	2000	turn_forward					gen_q-dev_upala-alt	gen_q	dev_upala	alt	26.0	60.0	60		
1033	2000			CLF:ЧЕЛОВЕК:УПАСТЬ			gen_q-dev_upala-alt	gen_q	dev_upala	alt	29.0	60.0	60	CLF:ЧЕЛОВЕК:УПАСТЬ	V
1233	2000				ПЛОСКОСТЬ		gen_q-dev_upala-alt	gen_q	dev_upala	alt	36.0	60.0	60		
637	708			ДЕВОЧКА			gen_q-dev_upala-kar	gen_q	dev_upala	kar	16.0	18.0	52	ДЕВОЧКА	N
708	1559		br_raise				gen_q-dev_upala-kar	gen_q	dev_upala	kar	18.0	44.0	52		
885	1629			CLF:ЧЕЛОВЕК:УПАСТЬ			gen_q-dev_upala-kar	gen_q	dev_upala	kar	23.0	46.0	52	CLF:ЧЕЛОВЕК:УПАСТЬ	V
1169	1629				ПЛОСКОСТЬ		gen_q-dev_upala-kar	gen_q	dev_upala	kar	32.0	46.0	52		
400	2033		br_raise				gen_q-dev_upala-makh	gen_q	dev_upala	makh	9.0	61.0	65		
566	933			ДЕВОЧКА			gen_q-dev_upala-makh	gen_q	dev_upala	makh	14.0	26.0	65	ДЕВОЧКА	N
1200	1800			CLF:ЧЕЛОВЕК:УПАСТЬ			gen_q-dev_upala-makh	gen_q	dev_upala	makh	35.0	54.0	65	CLF:ЧЕЛОВЕК:УПАСТЬ	V
1200	1966	turn_forward					gen_q-dev_upala-makh	gen_q	dev_upala	makh	35.0	59.0	65		
1266	1800				ПЛОСКОСТЬ		gen_q-dev_upala-makh	gen_q	dev_upala	makh	37.0	54.0	65		
400	633				ДЕВОЧКА		gen_q-dev_upala-mira	gen_q	dev_upala	mira	9.0	17.0	55	ДЕВОЧКА	N
733	966	nod					gen_q-dev_upala-mira	gen_q	dev_upala	mira	20.0	27.0	55		
733	1366		br_raise				gen_q-dev_upala-mira	gen_q	dev_upala	mira	20.0	40.0	55		
966	1500	nod					gen_q-dev_upala-mira	gen_q	dev_upala	mira	27.0	45.0	55		
1033	1766			ПЛОСКОСТЬ			gen_q-dev_upala-mira	gen_q	dev_upala	mira	30.0	53.0	55		
1100	1766				CLF:ЧЕЛОВЕК:УПАСТЬ		gen_q-dev_upala-mira	gen_q	dev_upala	mira	32.0	53.0	55	CLF:ЧЕЛОВЕК:УПАСТЬ	V
133	1766		br_raise				gen_q-dev_upala-tanya	gen_q	dev_upala	tanya	0.0	53.0	58		
233	833	turn_forward					gen_q-dev_upala-tanya	gen_q	dev_upala	tanya	4.0	23.0	58		
366	800			ДЕВОЧКА			gen_q-dev_upala-tanya	gen_q	dev_upala	tanya	8.0	22.0	58	ДЕВОЧКА	N
866	1233	nod					gen_q-dev_upala-tanya	gen_q	dev_upala	tanya	24.0	36.0	58		
1000	1666			CLF:ЧЕЛОВЕК:УПАСТЬ	ПЛОСКОСТЬ		gen_q-dev_upala-tanya	gen_q	dev_upala	tanya	28.0	50.0	58	CLF:ЧЕЛОВЕК:УПАСТЬ	V
266	933			ДЕВОЧКА			st-dev_upala-alt	st	dev_upala	alt	5.0	26.0	87	ДЕВОЧКА	N
1133	1933			CLF:ЧЕЛОВЕК:УПАСТЬ			st-dev_upala-alt	st	dev_upala	alt	32.0	57.0	87	CLF:ЧЕЛОВЕК:УПАСТЬ	V
1366	1933				ПЛОСКОСТЬ		st-dev_upala-alt	st	dev_upala	alt	39.0	57.0	87		
602	921			ДЕВОЧКА			st-dev_upala-kar	st	dev_upala	kar	14.0	24.0	57	ДЕВОЧКА	N
1062	1736			CLF:ЧЕЛОВЕК:УПАСТЬ			st-dev_upala-kar	st	dev_upala	kar	28.0	49.0	57	CLF:ЧЕЛОВЕК:УПАСТЬ	V
1062	1807				ПЛОСКОСТЬ		st-dev_upala-kar	st	dev_upala	kar	28.0	51.0	57		
1000	1400			ДЕВОЧКА			st-dev_upala-makh	st	dev_upala	makh	28.0	40.0	81	ДЕВОЧКА	N
1233	2200				ПЛОСКОСТЬ		st-dev_upala-makh	st	dev_upala	makh	35.0	66.0	81		
1600	2200			CLF:ЧЕЛОВЕК:УПАСТЬ			st-dev_upala-makh	st	dev_upala	makh	47.0	66.0	81	CLF:ЧЕЛОВЕК:УПАСТЬ	V
266	800				ДЕВОЧКА		st-dev_upala-mira	st	dev_upala	mira	5.0	22.0	61	ДЕВОЧКА	N
1100	1833				CLF:ЧЕЛОВЕК:УПАСТЬ		st-dev_upala-mira	st	dev_upala	mira	32.0	55.0	61	CLF:ЧЕЛОВЕК:УПАСТЬ	V
1133	1833			ПЛОСКОСТЬ			st-dev_upala-mira	st	dev_upala	mira	33.0	55.0	61		
500	966			ДЕВОЧКА			st-dev_upala-tanya	st	dev_upala	tanya	12.0	27.0	70	ДЕВОЧКА	N
1100	2066				ПЛОСКОСТЬ		st-dev_upala-tanya	st	dev_upala	tanya	31.0	62.0	70		
1133	1966			CLF:ЧЕЛОВЕК:УПАСТЬ			st-dev_upala-tanya	st	dev_upala	tanya	32.0	59.0	70	CLF:ЧЕЛОВЕК:УПАСТЬ	V
400	2466	turn_forward	br_raise				gen_q-dom_post-alt	gen_q	dom_post	alt	9.0	74.0	89		
633	1166			ДОМ	ДОМ		gen_q-dom_post-alt	gen_q	dom_post	alt	16.0	33.0	89	ДОМ	N
1566	2433			СТРОИТЬ	СТРОИТЬ		gen_q-dom_post-alt	gen_q	dom_post	alt	46.0	73.0	89	СТРОИТЬ	V
174	2008		br_raise				gen_q-dom_post-kar	gen_q	dom_post	kar	0.0	46.0	49		
305	873			ДОМ	ДОМ		gen_q-dom_post-kar	gen_q	dom_post	kar	4.0	18.0	49	ДОМ	N
349	1048	nod					gen_q-dom_post-kar	gen_q	dom_post	kar	5.0	22.0	49		
1004	2008			СТРОИТЬ			gen_q-dom_post-kar	gen_q	dom_post	kar	21.0	46.0	49	СТРОИТЬ	V
1091	2008				СТРОИТЬ		gen_q-dom_post-kar	gen_q	dom_post	kar	23.0	46.0	49		
433	1800		br_raise				gen_q-dom_post-makh	gen_q	dom_post	makh	10.0	54.0	67		
566	933			ДОМ	ДОМ		gen_q-dom_post-makh	gen_q	dom_post	makh	14.0	26.0	67	ДОМ	N
1200	1666	nod					gen_q-dom_post-makh	gen_q	dom_post	makh	35.0	49.0	67		
1200	1833				СТРОИТЬ		gen_q-dom_post-makh	gen_q	dom_post	makh	35.0	55.0	67		
1233	1766			СТРОИТЬ			gen_q-dom_post-makh	gen_q	dom_post	makh	36.0	53.0	67	СТРОИТЬ	V
133	1833		br_raise				gen_q-dom_post-mira	gen_q	dom_post	mira	0.0	55.0	55		
233	666			ДОМ	ДОМ		gen_q-dom_post-mira	gen_q	dom_post	mira	4.0	18.0	55	ДОМ	N
1033	1733			СТРОИТЬ	СТРОИТЬ		gen_q-dom_post-mira	gen_q	dom_post	mira	30.0	52.0	55	СТРОИТЬ	V
233	800	turn_forward					gen_q-dom_post-tanya	gen_q	dom_post	tanya	4.0	22.0	77		
233	1966		br_raise				gen_q-dom_post-tanya	gen_q	dom_post	tanya	4.0	58.0	77		
500	1133			ДОМ	ДОМ		gen_q-dom_post-tanya	gen_q	dom_post	tanya	12.0	32.0	77	ДОМ	N
1300	2266			СТРОИТЬ			gen_q-dom_post-tanya	gen_q	dom_post	tanya	37.0	68.0	77	СТРОИТЬ	V
1333	2266				СТРОИТЬ		gen_q-dom_post-tanya	gen_q	dom_post	tanya	38.0	68.0	77		
733	1233			ДОМ	ДОМ		st-dom_post-alt	st	dom_post	alt	19.0	35.0	107	ДОМ	N
1533	2900				СТРОИТЬ		st-dom_post-alt	st	dom_post	alt	44.0	87.0	107		
1566	2900			СТРОИТЬ			st-dom_post-alt	st	dom_post	alt	45.0	87.0	107	СТРОИТЬ	V
174	873			ДОМ	ДОМ		st-dom_post-kar	st	dom_post	kar	0.0	18.0	45	ДОМ	N
960	1834			СТРОИТЬ			st-dom_post-kar	st	dom_post	kar	20.0	42.0	45	СТРОИТЬ	V
1048	1834				СТРОИТЬ		st-dom_post-kar	st	dom_post	kar	22.0	42.0	45		
466	1100			ДОМ	ДОМ		st-dom_post-makh	st	dom_post	makh	11.0	31.0	79	ДОМ	N
1300	1900			СТРОИТЬ			st-dom_post-makh	st	dom_post	makh	37.0	56.0	79	СТРОИТЬ	V
1333	1900				СТРОИТЬ		st-dom_post-makh	st	dom_post	makh	38.0	56.0	79		
233	800			ДОМ	ДОМ		st-dom_post-mira	st	dom_post	mira	4.0	22.0	71	ДОМ	N
1033	2100			СТРОИТЬ			st-dom_post-mira	st	dom_post	mira	29.0	63.0	71	СТРОИТЬ	V
1100	2100				СТРОИТЬ		st-dom_post-mira	st	dom_post	mira	31.0	63.0	71		
500	1300			ДОМ	ДОМ		st-dom_post-tanya	st	dom_post	tanya	12.0	37.0	82	ДОМ	N
1433	2433			СТРОИТЬ			st-dom_post-tanya	st	dom_post	tanya	41.0	73.0	82	СТРОИТЬ	V
1466	2433				СТРОИТЬ		st-dom_post-tanya	st	dom_post	tanya	43.0	73.0	82		
200	1099		br_raise				gen_q-mal_chit-alt	gen_q	mal_chit	alt	3.0	31.0	80		
400	933			МАЛЬЧИК			gen_q-mal_chit-alt	gen_q	mal_chit	alt	9.0	26.0	80	МАЛЬЧИК	N
1099	2233		br_raise				gen_q-mal_chit-alt	gen_q	mal_chit	alt	31.0	67.0	80		
1333	2266	turn_forward					gen_q-mal_chit-alt	gen_q	mal_chit	alt	38.0	68.0	80		
1466	2233			ЧИТАТЬ	ЧИТАТЬ		gen_q-mal_chit-alt	gen_q	mal_chit	alt	43.0	67.0	80	ЧИТАТЬ	V
358	920			МАЛЬЧИК			gen_q-mal_chit-kar	gen_q	mal_chit	kar	4.0	16.0	47	МАЛЬЧИК	N
972	2046		br_raise				gen_q-mal_chit-kar	gen_q	mal_chit	kar	17.0	40.0	47		
1074	2046				ЧИТАТЬ		gen_q-mal_chit-kar	gen_q	mal_chit	kar	19.0	40.0	47		
1176	2046			ЧИТАТЬ			gen_q-mal_chit-kar	gen_q	mal_chit	kar	21.0	40.0	47	ЧИТАТЬ	V
233	833		br_raise				gen_q-mal_chit-makh	gen_q	mal_chit	makh	4.0	23.0	64		
433	966			МАЛЬЧИК			gen_q-mal_chit-makh	gen_q	mal_chit	makh	10.0	27.0	64	МАЛЬЧИК	N
1000	1800	turn_forward					gen_q-mal_chit-makh	gen_q	mal_chit	makh	28.0	54.0	64		
1166	1800				ЧИТАТЬ		gen_q-mal_chit-makh	gen_q	mal_chit	makh	34.0	54.0	64		
1200	1800			ЧИТАТЬ			gen_q-mal_chit-makh	gen_q	mal_chit	makh	35.0	54.0	64	ЧИТАТЬ	V
1200	1833		br_raise				gen_q-mal_chit-makh	gen_q	mal_chit	makh	35.0	55.0	64		
466	733				МАЛЬЧИК		gen_q-mal_chit-mira	gen_q	mal_chit	mira	11.0	20.0	64	МАЛЬЧИК	N
733	1500		br_raise				gen_q-mal_chit-mira	gen_q	mal_chit	mira	20.0	44.0	64		
833	1400	nod					gen_q-mal_chit-mira	gen_q	mal_chit	mira	23.0	41.0	64		
966	1833			ЧИТАТЬ			gen_q-mal_chit-mira	gen_q	mal_chit	mira	27.0	55.0	64		
1166	1833				ЧИТАТЬ		gen_q-mal_chit-mira	gen_q	mal_chit	mira	34.0	55.0	64	ЧИТАТЬ	V
466	900			МАЛЬЧИК			gen_q-mal_chit-tanya	gen_q	mal_chit	tanya	11.0	25.0	77	МАЛЬЧИК	N
1033	2133		br_raise				gen_q-mal_chit-tanya	gen_q	mal_chit	tanya	29.0	64.0	77		
1100	1733	nod					gen_q-mal_chit-tanya	gen_q	mal_chit	tanya	31.0	51.0	77		
1133	2100				ЧИТАТЬ		gen_q-mal_chit-tanya	gen_q	mal_chit	tanya	32.0	63.0	77		
1300	2100			ЧИТАТЬ			gen_q-mal_chit-tanya	gen_q	mal_chit	tanya	37.0	63.0	77	ЧИТАТЬ	V
500	933				МАЛЬЧИК		st-mal_chit-mira	st	mal_chit	mira	12.0	26.0	69	МАЛЬЧИК	N
1233	1900				ЧИТАТЬ		st-mal_chit-mira	st	mal_chit	mira	36.0	57.0	69	ЧИТАТЬ	V
1300	1900			ЧИТАТЬ			st-mal_chit-mira	st	mal_chit	mira	38.0	57.0	69		
500	1100			МАЛЬЧИК			st-mal_chit-alt	st	mal_chit	alt	12.0	31.0	96	МАЛЬЧИК	N
566	1533		br_raise				st-mal_chit-alt	st	mal_chit	alt	14.0	44.0	96		
1366	2733				ЧИТАТЬ		st-mal_chit-alt	st	mal_chit	alt	39.0	82.0	96		
1400	2733			ЧИТАТЬ			st-mal_chit-alt	st	mal_chit	alt	40.0	82.0	96	ЧИТАТЬ	V
613	1176			МАЛЬЧИК			st-mal_chit-kar	st	mal_chit	kar	9.0	21.0	59	МАЛЬЧИК	N
1432	2200				ЧИТАТЬ		st-mal_chit-kar	st	mal_chit	kar	26.0	42.0	59		
1483	2200			ЧИТАТЬ			st-mal_chit-kar	st	mal_chit	kar	27.0	42.0	59	ЧИТАТЬ	V
666	1366			МАЛЬЧИК			st-mal_chit-makh	st	mal_chit	makh	17.0	39.0	92	МАЛЬЧИК	N
1600	2133			ЧИТАТЬ			st-mal_chit-makh	st	mal_chit	makh	47.0	63.0	92	ЧИТАТЬ	V
1633	2166				ЧИТАТЬ		st-mal_chit-makh	st	mal_chit	makh	48.0	64.0	92		
433	1200			МАЛЬЧИК			st-mal_chit-tanya	st	mal_chit	tanya	10.0	34.0	77	МАЛЬЧИК	N
1300	2000				ЧИТАТЬ		st-mal_chit-tanya	st	mal_chit	tanya	37.0	60.0	77		
1400	2000			ЧИТАТЬ			st-mal_chit-tanya	st	mal_chit	tanya	41.0	60.0	77	ЧИТАТЬ	V
175	2016		br_low				gen_q-mama_ust-kar	gen_q	mama_ust	kar	0.0	46.0	46		
394	1052			МАМА			gen_q-mama_ust-kar	gen_q	mama_ust	kar	6.0	22.0	46	МАМА	N
438	1183	nod					gen_q-mama_ust-kar	gen_q	mama_ust	kar	7.0	26.0	46		
1358	1928	turn_forward					gen_q-mama_ust-kar	gen_q	mama_ust	kar	30.0	44.0	46		
1402	1884			УСТАЛЫЙ			gen_q-mama_ust-kar	gen_q	mama_ust	kar	31.0	43.0	46	УСТАЛЫЙ	V
1490	1884				УСТАЛЫЙ		gen_q-mama_ust-kar	gen_q	mama_ust	kar	33.0	43.0	46		
300	2466		br_raise				gen_q-mama_ust-alt	gen_q	mama_ust	alt	6.0	74.0	82		
600	1200			МАМА			gen_q-mama_ust-alt	gen_q	mama_ust	alt	15.0	34.0	82	МАМА	N
1833	2333			УСТАЛЫЙ			gen_q-mama_ust-alt	gen_q	mama_ust	alt	54.0	70.0	82	УСТАЛЫЙ	V
1866	2333				УСТАЛЫЙ		gen_q-mama_ust-alt	gen_q	mama_ust	alt	55.0	70.0	82		
400	2066		br_raise				gen_q-mama_ust-makh	gen_q	mama_ust	makh	9.0	61.0	90		
666	1166			МАМА			gen_q-mama_ust-makh	gen_q	mama_ust	makh	17.0	33.0	90	МАМА	N
1433	2066	nod					gen_q-mama_ust-makh	gen_q	mama_ust	makh	41.0	61.0	90		
1466	2000				УСТАЛЫЙ		gen_q-mama_ust-makh	gen_q	mama_ust	makh	42.0	59.0	90		
1500	2000			УСТАЛЫЙ			gen_q-mama_ust-makh	gen_q	mama_ust	makh	43.0	59.0	90	УСТАЛЫЙ	V
266	1066		br_raise				gen_q-mama_ust-mira	gen_q	mama_ust	mira	5.0	30.0	69		
366	966			МАМА			gen_q-mama_ust-mira	gen_q	mama_ust	mira	8.0	27.0	69	МАМА	N
1000	1433	nod					gen_q-mama_ust-mira	gen_q	mama_ust	mira	28.0	42.0	69		
1333	1666			УСТАЛЫЙ	УСТАЛЫЙ		gen_q-mama_ust-mira	gen_q	mama_ust	mira	39.0	49.0	69	УСТАЛЫЙ	V
133	966	chin_up					gen_q-mama_ust-tanya	gen_q	mama_ust	tanya	0.0	27.0	72		
533	1633			МАМА			gen_q-mama_ust-tanya	gen_q	mama_ust	tanya	13.0	48.0	72	МАМА	N
1700	2400			УСТАЛЫЙ			gen_q-mama_ust-tanya	gen_q	mama_ust	tanya	50.0	72.0	72	УСТАЛЫЙ	V
1833	2333	nod					gen_q-mama_ust-tanya	gen_q	mama_ust	tanya	54.0	70.0	72		
1900	2400				УСТАЛЫЙ		gen_q-mama_ust-tanya	gen_q	mama_ust	tanya	57.0	72.0	72		
306	1052			МАМА			st-mama_ust-kar	st	mama_ust	kar	4.0	22.0	48	МАМА	N
1227	1841				УСТАЛЫЙ		st-mama_ust-kar	st	mama_ust	kar	27.0	42.0	48		
1271	1884			УСТАЛЫЙ			st-mama_ust-kar	st	mama_ust	kar	28.0	43.0	48	УСТАЛЫЙ	V
566	966			МАМА			st-mama_ust-alt	st	mama_ust	alt	14.0	27.0	64	МАМА	N
1100	1733			УСТАЛЫЙ			st-mama_ust-alt	st	mama_ust	alt	31.0	52.0	64	УСТАЛЫЙ	V
1233	1733				УСТАЛЫЙ		st-mama_ust-alt	st	mama_ust	alt	36.0	52.0	64		
766	1366			МАМА			st-mama_ust-makh	st	mama_ust	makh	20.0	39.0	86	МАМА	N
1466	2200				УСТАЛЫЙ		st-mama_ust-makh	st	mama_ust	makh	42.0	66.0	86		
1600	2200			УСТАЛЫЙ			st-mama_ust-makh	st	mama_ust	makh	47.0	66.0	86	УСТАЛЫЙ	V
366	933			МАМА			st-mama_ust-mira	st	mama_ust	mira	8.0	26.0	73	МАМА	N
1100	2200			УСТАЛЫЙ			st-mama_ust-mira	st	mama_ust	mira	31.0	66.0	73	УСТАЛЫЙ	V
1166	2200				УСТАЛЫЙ		st-mama_ust-mira	st	mama_ust	mira	33.0	66.0	73		
200	766		br_raise				st-mama_ust-tanya	st	mama_ust	tanya	3.0	21.0	53		
333	1033			МАМА			st-mama_ust-tanya	st	mama_ust	tanya	7.0	30.0	53	МАМА	N
1100	1733				УСТАЛЫЙ		st-mama_ust-tanya	st	mama_ust	tanya	32.0	52.0	53		
1133	1733			УСТАЛЫЙ			st-mama_ust-tanya	st	mama_ust	tanya	33.0	52.0	53	УСТАЛЫЙ	V
133	966		br_raise				gen_q-okno_razb-alt	gen_q	okno_razb	alt	0.0	27.0	76		
400	1133			ОКНО			gen_q-okno_razb-alt	gen_q	okno_razb	alt	9.0	32.0	76	ОКНО	N
1066	2166		br_raise				gen_q-okno_razb-alt	gen_q	okno_razb	alt	30.0	65.0	76		
1366	2100			РАЗБИТЫЙ			gen_q-okno_razb-alt	gen_q	okno_razb	alt	40.0	63.0	76	РАЗБИТЫЙ	V
1433	2100				РАЗБИТЫЙ		gen_q-okno_razb-alt	gen_q	okno_razb	alt	42.0	63.0	76		
207	727			ОКНО			gen_q-okno_razb-kar	gen_q	okno_razb	kar	0.0	12.0	31	ОКНО	N
779	1610				РАЗБИТЫЙ		gen_q-okno_razb-kar	gen_q	okno_razb	kar	13.0	31.0	31		
935	1610		br_raise	РАЗБИТЫЙ			gen_q-okno_razb-kar	gen_q	okno_razb	kar	17.0	31.0	31	РАЗБИТЫЙ	V
466	2000		br_raise				gen_q-okno_razb-makh	gen_q	okno_razb	makh	11.0	59.0	80		
533	1100			ОКНО			gen_q-okno_razb-makh	gen_q	okno_razb	makh	13.0	31.0	80	ОКНО	N
766	1400	nod					gen_q-okno_razb-makh	gen_q	okno_razb	makh	20.0	41.0	80		
1266	1966			РАЗБИТЫЙ			gen_q-okno_razb-makh	gen_q	okno_razb	makh	36.0	58.0	80	РАЗБИТЫЙ	V
1300	1966				РАЗБИТЫЙ		gen_q-okno_razb-makh	gen_q	okno_razb	makh	37.0	58.0	80		
1400	2000	turn_forward					gen_q-okno_razb-makh	gen_q	okno_razb	makh	41.0	59.0	80		
366	866				ОКНО		gen_q-okno_razb-mira	gen_q	okno_razb	mira	8.0	24.0	59	ОКНО	N
700	1000	nod					gen_q-okno_razb-mira	gen_q	okno_razb	mira	19.0	28.0	59		
1000	1466	nod					gen_q-okno_razb-mira	gen_q	okno_razb	mira	28.0	43.0	59		
1200	1800			РАЗБИТЫЙ	РАЗБИТЫЙ		gen_q-okno_razb-mira	gen_q	okno_razb	mira	35.0	54.0	59	РАЗБИТЫЙ	V
1466	1800	nod					gen_q-okno_razb-mira	gen_q	okno_razb	mira	43.0	54.0	59		
333	1766		br_raise				gen_q-okno_razb-tanya	gen_q	okno_razb	tanya	7.0	52.0	69		
433	1000			ОКНО			gen_q-okno_razb-tanya	gen_q	okno_razb	tanya	10.0	28.0	69	ОКНО	N
1000	1600				РАЗБИТЫЙ		gen_q-okno_razb-tanya	gen_q	okno_razb	tanya	28.0	47.0	69		
1133	1600			РАЗБИТЫЙ			gen_q-okno_razb-tanya	gen_q	okno_razb	tanya	32.0	47.0	69	РАЗБИТЫЙ	V
1233	1700	nod					gen_q-okno_razb-tanya	gen_q	okno_razb	tanya	36.0	50.0	69		
466	1233			ОКНО			st-okno_razb-alt	st	okno_razb	alt	11.0	35.0	93	ОКНО	N
1500	2300			РАЗБИТЫЙ			st-okno_razb-alt	st	okno_razb	alt	43.0	68.0	93	РАЗБИТЫЙ	V
1566	2300				РАЗБИТЫЙ		st-okno_razb-alt	st	okno_razb	alt	45.0	68.0	93		
207	987			ОКНО			st-okno_razb-kar	st	okno_razb	kar	0.0	17.0	35	ОКНО	N
1143	1818				РАЗБИТЫЙ		st-okno_razb-kar	st	okno_razb	kar	21.0	35.0	35		
1195	1818			РАЗБИТЫЙ			st-okno_razb-kar	st	okno_razb	kar	22.0	35.0	35	РАЗБИТЫЙ	V
